ID,Version,Urgence,Catégorie,Feature,Description,Fichiers,Composants,Complexité,Statut,Notes
C01,v0,1,Personnage,Écran création de personnage,"Avant Run #1 : saisir un nom + répartir N points d'attribut entre STR/AGI/INT/CHANCE/DEF","src/screens/CharacterCreation.jsx (NEW), src/App.jsx, src/store/gameStore.js","CharacterCreation, NavBar, useGameStore",M,TODO,Ajouter screen 'character_creation' dans App.jsx ; déclencher si runNumber === 1 ET hero.name === 'The Wanderer'
C02,v0,1,Personnage,Level up — attribution de points,"Popup bloquant au level up : +2 pts à distribuer parmi les stats. Fermer = continuer","src/screens/LevelUpModal.jsx (NEW), src/store/gameStore.js, src/App.jsx","LevelUpModal, gainExp, useGameStore",M,TODO,Ajouter pendingLevelUp dans le store ; intercepter dans App.jsx avant tout autre rendu
C03,v1,4,Personnage,Personnalisation visuelle,"Choisir un portrait parmi 8 icônes au moment de la création. Affiché dans HeroCard en combat","src/screens/CharacterCreation.jsx, src/screens/Combat.jsx","CharacterCreation, HeroCard",S,TODO,Stocker heroPortrait dans hero ; remplacer l'emoji ⚔️ fixe de HeroCard
B01,v0,1,Combat,Animations de combat (4 types),"Attack: ennemi shake. Skill: flash violet sur ennemi. Heal: flash vert héros. Flee: slide-out héros. Défaite ennemi: fade-out + rot","src/screens/Combat.jsx, src/index.css","EnemyCard, HeroCard, Combat",M,TODO,CSS keyframes dans index.css ; state animatingType dans Combat
B02,v0,2,Combat,Flash ennemi sur contre-attaque,"Shake rouge + border flash sur EnemyCard quand l'ennemi attaque (symétrique au heroHitFlash existant)","src/screens/Combat.jsx","EnemyCard, enemyTurn",S,TODO,State enemyHitFlash[enemyId] ; déclencher dans enemyTurn()
B03,v1,3,Combat,Multi-ennemis (1-3),"1 à 3 ennemis selon le rank (common=1-2, elite=1, boss=1). Ciblage au clic déjà fonctionnel","src/screens/Combat.jsx, src/screens/ZoneView.jsx, src/store/gameStore.js","MonsterRow.handleFight, Combat, startCombat",M,TODO,Passer enemyCount dans startCombat ; scaler HP/ATK des ennemis supplémentaires
B04,v0,1,Combat,Déséquiper un skill,"Bouton 'Unequip' sur chaque skill équipé dans HeroSheet → remet la mana stone dans inventory","src/screens/HeroSheet.jsx, src/store/gameStore.js","HeroSheet.SkillRow, unequipSkill (NEW action)",S,TODO,Action store : retirer de activeSkills/passiveSkills et push dans manaStones
B05,v1,3,Combat,Effets de statut,"Poison (dmg/tour), Stun (skip turn), Burn (dmg + bonus fire), Slow (-SPD). Max 2 actifs simultanément","src/engine/combat.js, src/screens/Combat.jsx","enemyAI, EnemyCard, HeroCard",L,TODO,Ajouter statusEffects[] dans activeCombat ; appliquer en début de chaque tour
B06,v2,5,Combat,ATB (Active Time Battle),"Remplace le système de tour fixe par une jauge de vitesse individuelle par combattant","src/engine/combat.js, src/screens/Combat.jsx","Combat entier",XL,TODO,Prévu en V2 selon le design doc
B07,v1,3,Combat,Dégâts flottants,"Nombre de dégâts qui monte et disparaît au-dessus de la cible (CSS animation)","src/screens/Combat.jsx","EnemyCard, HeroCard",S,TODO,Composant DamageNumber positionné en absolute ; nettoyé après 800ms
B08,v1,4,Combat,Résumé de combat amélioré,"ResultPanel : afficher kills, dégâts totaux infligés, mana dépensée en plus du loot","src/screens/Combat.jsx","ResultPanel",S,TODO,Accumuler dmgDealt et manaUsed dans le state Combat
S01,v0,1,Skills,Skill divin utilisable en combat,"Après acceptation DivineCall, le skill divin doit apparaître dans l'ActionPanel au même titre que les activeSkills","src/screens/Combat.jsx, src/store/gameStore.js, src/screens/DivineCall.jsx","ActionPanel, acceptDeity, Combat",S,TODO,divineSkill n'est pas dans activeSkills ; l'ajouter à heroSkills dans useEffect Combat ou via acceptDeity
S02,v1,3,Skills,Aperçu skills ennemis dans ZoneView,"Afficher quel skill un ennemi peut dropper. Flou si < 5 kills. Révélé après 5 kills (lore : 'technique entrevue')","src/screens/ZoneView.jsx, src/data/monsters.js","MonsterRow, MONSTERS",M,TODO,Lire monster.skillDrop.skillId ; conditionner l'affichage sur killCount
S03,v1,4,Skills,Stack mana stones doublons,"Regrouper les mana stones identiques (même skillId) en une entrée ×N au lieu d'autant de lignes","src/store/gameStore.js, src/screens/Inventory.jsx","addSkillToInventory, SkillsTab",S,TODO,Changer manaStones[] en Map ou ajouter une qty ; adapter l'affichage Inventory
S04,v0,2,Skills,Vérifier leveling Lv2→Lv3,"S'assurer que la progression Lv1→2 (20 uses) et Lv2→3 (50 uses) fonctionne + message visible","src/store/gameStore.js, src/screens/HeroSheet.jsx","gainSkillXp, SkillRow",S,TODO,Ajouter log/notification lors du level up de skill
Q01,v0,1,Quêtes,Écran Quest Board dédié,"Nouvel écran accessible depuis l'auberge ET depuis la sidebar WorldMap. 3 onglets : Disponibles / Actives / Terminées","src/screens/QuestBoard.jsx (NEW), src/App.jsx, src/screens/SafeZone.jsx, src/screens/WorldMap.jsx","QuestBoard (NEW), SafeZone, Sidebar WorldMap",M,TODO,Ajouter screen 'quest_board' dans App.jsx ; bouton dans Sidebar WorldMap
Q02,v0,1,Quêtes,Tracking progression en temps réel,"Barre de progression par objectif dans le Quest Board (ex : Ashwood Wolves 3/5). Lire monsterKillCounts","src/screens/QuestBoard.jsx, src/store/gameStore.js","QuestBoard, isQuestComplete",S,TODO,isQuestComplete est déjà dans le store ; adapter pour retourner la progression partielle
Q03,v1,3,Quêtes,Quêtes boss donjon,"Tuer The Crypt Keeper / Lord of the Forsaken. Objectif type 'kill' sur hollow_crypt_boss","src/data/quests.js","QUESTS",S,TODO,Ajouter 3-4 entrées dans QUESTS ; lier à giverNpc ironhaven_captain
Q04,v1,3,Quêtes,Quêtes exploration,"Explorer un donjon / visiter les 3 villages. Objectif type 'visit' ou 'explore'","src/data/quests.js, src/store/gameStore.js","QUESTS, isQuestComplete",S,TODO,Ajouter type 'visit' dans isQuestComplete ; tracker currentLocation dans world
Q05,v1,4,Quêtes,Quêtes craft,"Fabriquer X objets à la forge. Objectif type 'craft'. Nécessite tracker les crafts","src/data/quests.js, src/store/gameStore.js, src/screens/SafeZone.jsx","QUESTS, craftCount (NEW), SafeZone.ForgePanel",M,TODO,Ajouter craftCount dans world ; incrémenter dans l'action de craft SafeZone
Q06,v0,2,Quêtes,Réputation visible dans Quest Board,"Afficher jetons actuels + rang aventurier + barre progression vers rang suivant","src/screens/QuestBoard.jsx","QuestBoard",S,TODO,hero.reputationTokens et hero.adventurerRankTokens déjà dans le store
Q07,v1,3,Quêtes,Animation récompense quête,"À la remise de quête : flash de mana stone qui s'ajoute + toast '✦ Skill acquis' + jetons +X","src/screens/QuestBoard.jsx, src/store/gameStore.js","QuestBoard, completeQuest",S,TODO,Logique completeQuest existe ; ajouter effet visuel au moment de l'appel
Q08,v1,4,Quêtes,NPCs donneurs multiples,"Ajouter ironhaven_captain (quêtes boss/Grimspire) et greywatch_elder (quêtes marais/ruines)","src/data/quests.js, src/screens/SafeZone.jsx","QUESTS, SafeZone (NPCPanel)",M,TODO,Actuellement sir_aldric seul ; filtrer les quêtes par giverNpc dans QuestBoard
Z01,v0,1,Safe Zones,Auberge → Quest Board,"Bouton 'See Quests / Voir les quêtes' dans le panneau Auberge de SafeZone ouvre le QuestBoard","src/screens/SafeZone.jsx","SafeZone (InnPanel)",XS,TODO,setScreen('quest_board') depuis InnPanel
Z02,v0,2,Safe Zones,Marchand — achat consommables,"Liste d'items achetables (potions, rations) avec prix en or. Bouton acheter diminue gold","src/screens/SafeZone.jsx, src/data/resources.js","SafeZone (MerchantPanel), spendGold, addConsumable",S,TODO,Panel Merchant existe dans SafeZone ; compléter la liste et le bouton d'achat
Z03,v0,2,Safe Zones,Forge — recettes lisibles,"Afficher toutes les recettes. Griser si ressources insuffisantes. Confirmer avant craft","src/screens/SafeZone.jsx, src/data/equipment.js","SafeZone (ForgePanel), EQUIPMENT_TEMPLATES, canCraft",S,TODO,canCraft() existe dans equipment.js ; améliorer l'affichage des ingrédients manquants
Z04,v1,3,Safe Zones,Alchimiste — craft consommables,"Brasser des potions à partir de ressources drop. Interface similaire à la forge","src/screens/SafeZone.jsx, src/data/resources.js","SafeZone (AlchemistPanel)",M,TODO,Définir ALCHEMY_RECIPES dans resources.js
Z05,v0,2,Safe Zones,Église — soin partiel,"Action 'Pray' : restaure 40% HP + 30% mana. Coûte 1 tick de journée","src/screens/SafeZone.jsx, src/store/gameStore.js","SafeZone (ChurchPanel), healHero, restoreHeroMana",XS,TODO,healHero et restoreHeroMana existent ; ajouter la consommation de tick
Z06,v1,4,Safe Zones,Maître forgeron,"Recettes rares avec %, apparaît selon tirage (20% forge normale, 10% maître). Recettes exclusives","src/screens/SafeZone.jsx, src/data/equipment.js","SafeZone (ForgePanel), EQUIPMENT_TEMPLATES",M,TODO,Séparer MASTER_RECIPES dans equipment.js
D01,v1,2,Donjon,Flux donjon (5 salles + boss),"Enchaîner 5 combats + 1 boss. Écran inter-salle avec choix 'Continue' ou 'Retreat'. Loot cumulé à la fin","src/screens/Dungeon.jsx (NEW), src/App.jsx, src/store/gameStore.js","Dungeon (NEW), activeDungeon state, DungeonSection",L,TODO,Ajouter activeDungeon dans le store ; rooms[] avec monstres tirés au sort
D02,v0,2,Donjon,Découverte donjon,"Cliquer '?' sur la carte → dungeon.discovered = true → nom révélé dans ZoneView","src/screens/ZoneView.jsx, src/store/gameStore.js","DungeonSection, world.dungeons",S,TODO,Action discoverDungeon(zoneId) dans le store ; déclencher au clic sur le '?'
D03,v1,4,Donjon,Carte de donjon,"5 nodes linéaires avec salle actuelle surlignée. Affiche le type de salle (combat/trésor/boss)","src/screens/Dungeon.jsx","Dungeon.DungeonMap",M,TODO,Composant simple SVG ou flex row de nodes
D04,v1,3,Donjon,Loot de donjon exclusif,"Tables de drops spécifiques aux donjons : seals, reliques. Garantis sur le boss","src/data/monsters.js, src/engine/combat.js","MONSTERS (boss entries), calcDrops",S,TODO,Ajouter flag isDungeonBoss et lootTable dédiée
I01,v0,1,Idle,Retour auto si HP < 20%,"processIdleTick vérifie hero.hp < 20% maxHp et désactive l'idle + log 'Retreated (low HP)'","src/store/gameStore.js, src/App.jsx","processIdleTick, isIdleActive",S,TODO,hp n'est pas réduit actuellement (voir I02) ; résoudre I02 en premier
I02,v0,1,Idle,HP perdus en idle,"Chaque combat idle déduit les dégâts réels de l'ennemi sur hero.hp (actuellement HP non réduit)","src/store/gameStore.js","processIdleTick",S,TODO,Calculer dégâts = monster.baseStats.atk - hero.stats.def/2 ; appliquer sur hero.stats.hp
I03,v0,2,Idle,Barre jour/nuit permanente,"Footer fixe toujours visible : Day X · Tick Y/24 + bouton Sleep si en ville. Indépendant de l'écran","src/App.jsx","App (DayBar NEW), NavBar",S,TODO,Composant DayBar entre NavBar et main ; world.tickCount et world.dayCount
I04,v1,4,Idle,Toast loot idle,"Notification discrète en bas de l'écran sur chaque loot idle (même hors ZoneView). Disparaît en 2s","src/App.jsx, src/components/Toast.jsx (NEW)","Toast, processIdleTick",S,TODO,Système de toast global réutilisable (cf. U01)
DV01,v0,2,Divin,Vérifier conditions d'éveil,"checkAwakeningConditions() s'exécute à chaque fin de combat. Confirmer que Ignareth (20 batailles/5j) fonctionne","src/engine/combat.js, src/screens/Combat.jsx","checkAwakeningConditions, handleVictory",S,TODO,Logger la valeur retournée de checkAwakeningConditions pour valider
DV02,v0,1,Divin,Skill divin → slot actif,"acceptDeity() doit insérer le divineSkill dans activeSkills (ou slot dédié) pour qu'il soit utilisable en combat","src/store/gameStore.js, src/screens/DivineCall.jsx","acceptDeity, hero.activeSkills, hero.divineSkill",S,TODO,Actuellement divineSkill est stocké séparément ; le merger dans activeSkills ou le passer à Combat via heroSkills
DV03,v1,3,Divin,Fidélité inter-run,"Le lien divin mémorisé dans meta.divineBonds est proposé en priorité à la renaissance (pré-sélectionné dans GodsShop)","src/store/gameStore.js, src/screens/GodsShop.jsx","applyTransmigration, GodsShop",M,TODO,Lire meta.divineBonds[universeId] dans GodsShop pour afficher la divinité précédente en premier
DV04,v1,2,Divin,Voltaris & Sylvara actives,"Implémenter les 2 autres divinités du POC : conditions cachées + skills divins respectifs","src/data/deities.js, src/engine/combat.js","checkAwakeningConditions, DEITIES",M,TODO,Conditions Voltaris : 5 victoires à <30% HP. Sylvara : 8 combats avec 85%+ HP
DV05,v2,5,Divin,Aura divine visuelle,"Légère border colorée autour du portrait héros en combat selon la divinité liée","src/screens/Combat.jsx","HeroCard",S,TODO,Lire hero.deity et appliquer DEITY_COLORS[deity] sur border de HeroCard
T01,v0,1,Transmigration,Cause de mort précise,"PostMortem affiche 'Slain by Ashwood Wolf · Turn 4 · Ashenvale' au lieu de 'Unknown enemy'","src/store/gameStore.js, src/screens/Combat.jsx","heroDeath, finishCombat, lastRunSummary",S,TODO,Passer { enemyName, turn, zone } à heroDeath() depuis finishCombat()
T02,v1,3,Transmigration,Écran Transmigration animé,"Animation entre GodsShop et renaissance : carte du monde qui tourne, flash de lumière, univers change","src/screens/Transmigration.jsx (NEW), src/App.jsx","Transmigration (NEW), applyTransmigration",M,TODO,Screen 'transmigration' dans App.jsx ; setTimeout(applyTransmigration, durée_anim)
T03,v0,2,Transmigration,GodsShop — catalogue complet,"Implémenter tous les articles : restauration rang aventurier (80j), oracle divin (15j), kit de départ (10j)","src/screens/GodsShop.jsx","GodsShop, spendReputationTokens",M,TODO,Catalogue partiel ; ajouter les 4 articles manquants avec leurs effets
T04,v0,2,Transmigration,Malachar — counter résurrection,"Incrémenter demonLordResurrectionCounter à chaque applyTransmigration si demonLordDefeated","src/store/gameStore.js","applyTransmigration",S,TODO,Remettre à 0 si le counter atteint 4 (Malachar ressuscite)
U01,v0,2,UI/UX,Système de toasts/notifications,"Composant global : drops rares, level up skill, éveil divin. Apparaît 2.5s en overlay bas-droit","src/components/Toast.jsx (NEW), src/App.jsx","Toast (NEW), App",M,TODO,Context ou Zustand pour pousser des toasts depuis n'importe où
U02,v2,5,UI/UX,Responsive mobile,"Layout adaptatif < 768px : sidebar en drawer, combat en plein écran vertical","Tous les screens","Tous les composants",L,TODO,V2 selon design doc
U03,v0,2,UI/UX,Fonts Cinzel chargées,"Vérifier que Cinzel est importé via Google Fonts dans index.html, sinon les titres tombent sur serif générique","index.html","—",XS,TODO,Ajouter <link> Google Fonts si absent
U04,v1,4,UI/UX,Transitions entre écrans,"Fade 150ms entre les screens via CSS transition sur opacity","src/App.jsx","renderScreen",S,TODO,Wrapper main avec key={currentScreen} + transition CSS
U05,v2,5,UI/UX,SFX combat,"Effets sonores : coup, skill activé, victoire, mort. Fichiers audio légers (web audio api)","src/engine/audio.js (NEW)","Audio (NEW)",L,TODO,—
U06,v1,4,UI/UX,Décor WorldMap SVG,"Arbres stylisés sur Ashenvale Forest, marécage sur Thornmarsh, ruines sur Crumbled Ruins (SVG inline)","src/screens/WorldMap.jsx","WorldMap (HuntNode area)",M,TODO,Cosmétique ; ne pas surcharger le rendu
U07,v0,2,UI/UX,Jetons réputation dans NavBar,"Afficher 🪙 reputationTokens dans la NavBar au même niveau que HP/MP","src/App.jsx","NavBar",XS,TODO,hero.reputationTokens déjà dans le store
X01,v0,1,Technique,Scaling difficulté actif,"Appliquer monster_stat = base × zone_mult × (1.08^min(run,25)) au démarrage du combat","src/engine/combat.js, src/screens/ZoneView.jsx","buildEnemy, MonsterRow",S,DONE,buildEnemy() utilisé dans ZoneView.MonsterRow depuis le fix XP — scaling actif via scaleMonsterStats()
X02,v0,2,Technique,Migration sauvegardes,"Garantir que les nouvelles clés du store ne cassent pas les saves existantes (pattern merge déjà en place)","src/store/gameStore.js","loadGame",S,TODO,Tester avec une save v0 après chaque ajout de clé dans INITIAL_HERO/WORLD/META
X06,v0,1,Technique,Repo Git,"Initialiser un dépôt Git avec .gitignore adapté (node_modules, dist, .env). Pousser sur GitHub/GitLab","./","—",XS,TODO,Base indispensable avant tout développement sérieux ; protège contre les pertes de code
X07,v0,1,Technique,Tests automatisés,"Mettre en place Vitest (compatible Vite). Couvrir en priorité : combat engine (calcBaseDamage, calcDrops, calcExpGain, buildEnemy), store actions (gainExp, processIdleTick, applyTransmigration), et migrations de save (loadGame)","src/engine/combat.test.js (NEW), src/store/gameStore.test.js (NEW), vitest.config.js (NEW)","calcBaseDamage, calcDrops, calcExpGain, buildEnemy, gainExp, processIdleTick, loadGame",M,TODO,Vitest s'intègre nativement avec Vite ; ajouter script 'test' dans package.json. Priorité aux fonctions pures du moteur de combat"
X03,v0,3,Technique,Reset sauvegarde en jeu,"Bouton 'New Game' accessible depuis PostMortem ou un menu caché. Appelle resetGame()","src/screens/PostMortem.jsx","PostMortem, resetGame",XS,TODO,resetGame() existe déjà dans le store
X04,v0,2,Technique,Try/catch erreurs silencieuses,"Wrapper processIdleTick et endCombat dans try/catch pour éviter les freezes d'état","src/store/gameStore.js, src/App.jsx","processIdleTick, endCombat",S,TODO,Un crash dans processIdleTick bloque l'intervalle sans message
